"concept","from_var","to_var","from_years","to_years","gap_years","label_from","label_to","label_similarity","codes_equal","drift","drift_detail","name_flag","suggested_status","suggested_comparable","confidence","rationale"
"rfmam","_RFMAM","_RFMAM21","1998-1998","2018-2018",20,,"WOMEN RESPONDENTS AGED 40+ WHO HAVE HAD",,,"no-catalog-labels","_RFMAM has no catalog labels","suffix >= 10: looks like an age/code, not a version counter","rejected?","","low","suffix >= 10: looks like an age/code, not a version counter"
"rfmam","_RFMAM21","_RFMAM22","2018-2018","2020-2022",2,"WOMEN RESPONDENTS AGED 40+ WHO HAVE HAD","WOMEN RESPONDENTS AGED 40+ WHO HAVE HAD",1,TRUE,"none","","suffix >= 10: looks like an age/code, not a version counter","rejected?","","low","suffix >= 10: looks like an age/code, not a version counter"
"rfmam","_RFMAM22","_RFMAM23","2020-2022","2024-2024",2,"WOMEN RESPONDENTS AGED 40+ WHO HAVE HAD","WOMEN RESPONDENTS AGED 40+ WHO HAVE HAD",1,TRUE,"none","","suffix >= 10: looks like an age/code, not a version counter","rejected?","","low","suffix >= 10: looks like an age/code, not a version counter"
"rfpsa","_RFPSA21","_RFPSA22","2012-2016","2018-2018",2,"MALE RESPONDENTS AGED 40+ WHO HAVE HAD A","MALE RESPONDENTS AGED 40+ WHO HAVE HAD A",1,TRUE,"none","","suffix >= 10: looks like an age/code, not a version counter","rejected?","","low","suffix >= 10: looks like an age/code, not a version counter"
"rfpsa","_RFPSA22","_RFPSA23","2018-2018","2020-2020",2,"MALE RESPONDENTS AGED 40+ WHO HAVE HAD A","MALE RESPONDENTS AGED 40+ WHO HAVE HAD A",1,TRUE,"none","","suffix >= 10: looks like an age/code, not a version counter","rejected?","","low","suffix >= 10: looks like an age/code, not a version counter"
"rout","ROUT70","ROUT65","1993-1993","1994-1995",1,"NEED HELP OF OTHERS WITH ROUTINE NEEDS","NEED HELP OF OTHERS WITH ROUTINE NEEDS",1,,"no-catalog-labels","neither generation has catalog labels (pre-1998?)","suffix >= 10: looks like an age/code, not a version counter","rejected?","","low","suffix >= 10: looks like an age/code, not a version counter"
"sgms","_SGMS101","_SGMS102","2022-2022","2024-2024",2,"RESPONDENTS AGED 45-75 WHO HAVE HAD A SI","RESPONDENTS AGED 45-75 WHO HAVE HAD A SI",1,TRUE,"none","","suffix >= 10: looks like an age/code, not a version counter","rejected?","","low","suffix >= 10: looks like an age/code, not a version counter"
"bmi","_BMI","_BMI2","1987-1999","2000-2002",1,"BODY MASS INDEX","Body Mass Index.",1,,"no-catalog-labels","_BMI has no catalog labels","","verified?","","low","_BMI has no catalog labels - compare codebooks by hand"
"bmi","_BMI4","_BMI5","2004-2010","2011-2024",1,"COMPUTED BODY MASS INDEX","COMPUTED BODY MASS INDEX",1,,"no-catalog-labels","_BMI5 has no catalog labels","","verified?","","low","_BMI5 has no catalog labels - compare codebooks by hand"
"chkhemo","CHKHEMO","CHKHEMO2","1994-1999","2000-2003",1,"TIMES CHECK FOR GLYCOSYLATED HEMOGLOBIN","CHECKED FOR HEMOGLOBIN A ONE C",0.25,,"no-catalog-labels","CHKHEMO has no catalog labels","","verified?","","low","CHKHEMO has no catalog labels - compare codebooks by hand"
"cholmed","CHOLMED","CHOLMED1","1988-1990","2017-2017",27,"DOCTOR PRESCRIBE MED TO LOWER CHOL","CURRENTLY TAKING MEDICINE FOR HIGH CHOLE",0,,"no-catalog-labels","CHOLMED has no catalog labels","","verified?","","low","CHOLMED has no catalog labels - compare codebooks by hand"
"cigar","CIGAR","CIGAR2","1998-1998","2001-2003",3,"EVER SMOKED A CIGAR","EVER SMOKED CIGAR",1,,"no-catalog-labels","CIGAR has no catalog labels","","verified?","","low","CIGAR has no catalog labels - compare codebooks by hand"
"ctycode","CTYCODE","CTYCODE1","1988-2010","2011-2012",1,"COUNTY CODE","COUNTY CODE",1,,"no-catalog-labels","CTYCODE1 has no catalog labels","","verified?","","low","CTYCODE1 has no catalog labels - compare codebooks by hand"
"firearm","FIREARM2","FIREARM3","1996-1998","2001-2001",3,"FIREARMS KEPT AROUND HOME","FIREARMS IN HOME",0.5,,"no-catalog-labels","FIREARM2 has no catalog labels","","verified?","","low","FIREARM2 has no catalog labels - compare codebooks by hand"
"hepbrsn","HEPBRSN","HEPBRSN2","2006-2006","2007-2007",1,"DO ANY HIGH RISK SITUATIONS APPLY","ANY HEPATITIS B BEHAVIORS TRUE FOR YOU?",0.08,,"no-catalog-labels","HEPBRSN2 has no catalog labels","","verified?","","low","HEPBRSN2 has no catalog labels - compare codebooks by hand"
"ipvrelt","IPVRELT1","IPVRELT2","2006-2006","2007-2007",1,"RELATIONSHIP TO SEX PARTNER LAST VIOLENC","RELATIONSHIP TO SEX PARTNER LAST VIOLENC",1,,"no-catalog-labels","IPVRELT1 has no catalog labels","","verified?","","low","IPVRELT1 has no catalog labels - compare codebooks by hand"
"ladult","LADULT","LADULT1","2012-2018","2019-2024",1,"ARE YOU 18 YEARS OF AGE OR OLDER?","ARE YOU 18 YEARS OF AGE OR OLDER?",1,,"no-catalog-labels","LADULT has no catalog labels","","verified?","","low","LADULT has no catalog labels - compare codebooks by hand"
"pacat","_PACAT","_PACAT1","2011-2011","2013-2017",2,"PHYSICAL ACTIVITY CATEGORIES","PHYSICAL ACTIVITY CATEGORIES",1,,"no-catalog-labels","_PACAT has no catalog labels","","verified?","","low","_PACAT has no catalog labels - compare codebooks by hand"
"persdoc","PERSDOC","PERSDOC2","2000-2000","2001-2020",1,"HAVE PERS DOC OR HLTH CARE PROVIDER","MULTIPLE HEALTH CARE PROFESSIONALS",0.11,,"no-catalog-labels","PERSDOC has no catalog labels","","verified?","","low","PERSDOC has no catalog labels - compare codebooks by hand"
"qlrest","QLREST","QLREST2","1995-2000","2001-2012",1,"TIMES IN PAST MONTH NOT ENOUGH REST","HOW MANY DAYS DID YOU GET ENOUGH SLEEP I",0.07,,"no-catalog-labels","QLREST has no catalog labels","","verified?","","low","QLREST has no catalog labels - compare codebooks by hand"
"race","RACE","RACE2","1985-2000","2001-2012",1,"NEW RACE CODE","COMPUTED RACE-ETHNICITY GROUPING",0.17,,"no-catalog-labels","RACE has no catalog labels","","verified?","","low","RACE has no catalog labels - compare codebooks by hand"
"rcsrace","RCSRACE","RCSRACE1","2005-2012","2013-2014",1,"RACE OF CHILD (MULTIPLE POSSIBLE)",,,,"no-catalog-labels","neither generation has catalog labels (pre-1998?)","","verified?","","low","neither generation has catalog labels (pre-1998?) - compare codebooks by hand"
"rcvfvch","RCVFVCH2","RCVFVCH3","2006-2006","2009-2009",3,"DATE CHILD RCVD MOST RECENT FLU VACCINE(","DATE CHILD RCVD MOST RECENT FLU VACCINE(",1,,"no-catalog-labels","neither generation has catalog labels (pre-1998?)","","verified?","","low","neither generation has catalog labels (pre-1998?) - compare codebooks by hand"
"rcvfvch","RCVFVCH3","RCVFVCH4","2009-2009","2010-2012",1,"DATE CHILD RCVD MOST RECENT FLU VACCINE(","DATE CHILD RCVD MOST RECENT SEASONAL FLU",0.75,,"no-catalog-labels","neither generation has catalog labels (pre-1998?)","","verified?","","low","neither generation has catalog labels (pre-1998?) - compare codebooks by hand"
"selcptn","SELCPTN2","SELCPTN3","1997-1997","1998-2001",1,"DECREASE NUMB SEX PTNRS OR ABSTINENT","DECREASE NUMB SEX PTNRS OR ABSTINENT",1,,"no-catalog-labels","SELCPTN2 has no catalog labels","","verified?","","low","SELCPTN2 has no catalog labels - compare codebooks by hand"
"smoker","_SMOKER","_SMOKER2","1985-1993","1994-2004",1,"SMOKING STATUS","FOUR LEVEL SMOKER STATUS.",0.2,,"no-catalog-labels","_SMOKER has no catalog labels","","verified?","","low","_SMOKER has no catalog labels - compare codebooks by hand"
"usecond","USECOND2","USECOND3","1997-1997","1998-2001",1,"NOW ALWAYS USE CONDOMS FOR PROTECTION","NOW ALWAYS USE CONDOMS FOR PROTECTION",1,,"no-catalog-labels","USECOND2 has no catalog labels","","verified?","","low","USECOND2 has no catalog labels - compare codebooks by hand"
"vetstat","VETSTAT","VETSTAT2","2000-2000","2003-2008",3,"CURRENT MILITARY STATUS","CURRENT VETERAN STATUS",0.5,,"no-catalog-labels","VETSTAT has no catalog labels","","verified?","","low","VETSTAT has no catalog labels - compare codebooks by hand"
"wtkg","WTKG2","WTKG3","2004-2010","2011-2024",1,"COMPUTED WEIGHT IN KILOGRAMS","COMPUTED WEIGHT IN KILOGRAMS",1,,"no-catalog-labels","WTKG3 has no catalog labels","","verified?","","low","WTKG3 has no catalog labels - compare codebooks by hand"
"acehurt","ACEHURT","ACEHURT1","2009-2012","2019-2024",7,"HOW OFTEN DID A PARENT PHYSICALLY HURT Y","HOW OFTEN DID A PARENT PHYSICALLY HURT Y",1,TRUE,"none","","","verified?","TRUE","medium","codes and answer labels identical; check question wording in the codebook if the estimate matters"
"addown","ADDOWN","ADDOWN1","2006-2015","2018-2018",3,"DAYS FELT DOWN, DEPRESSED OR HOPELESS","FELT DOWN, DEPRESSED OR HOPELESS",0.8,FALSE,"code-set-differs","only in ADDOWN: {99,77,88}; only in ADDOWN1: {3,7,4,1,9,2}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"asthma","ASTHMA","ASTHMA2","1989-2000","2001-2010",1,"EVER HAD ASTHMA","EVER TOLD HAD ASTHMA",0.75,FALSE,"code-set-differs","only in ASTHMA: {}; only in ASTHMA2: {7}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"asthmed","ASTHMED2","ASTHMED3","2005-2006","2007-2017",1,"TIMES USED PRESCRIBED PREVENTATIVE ASTHM","DAYS USED PRESCRIBED PREVENTATIVE ASTHMA",0.43,TRUE,"label-wording-differs","code 2: '15-24 days' -> '15 to 24 days' | code 3: '25-30 days' -> '25 to 30 days' | code 1: '1-14 days' -> '1 to 14 days'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"avedrnk","AVEDRNK","AVEDRNK2","2001-2004","2005-2018",1,"AVERAGE NUMBER OF DRINKS PER OCCASION","AVG ALCOHOLIC DRINKS PER DAY IN PAST 30",0.2,TRUE,"label-wording-differs","code 77: 'Do not know/Not sure' -> 'Don’t know/Not sure'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"avedrnk","AVEDRNK2","AVEDRNK3","2005-2018","2019-2023",1,"AVG ALCOHOLIC DRINKS PER DAY IN PAST 30","AVG ALCOHOLIC DRINKS PER DAY IN PAST 30",1,FALSE,"code-set-differs","only in AVEDRNK2: {}; only in AVEDRNK3: {88}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"bmi","_BMI3","_BMI4","2003-2003","2004-2010",1,"BODY MASS INDEX.","COMPUTED BODY MASS INDEX",0.75,TRUE,"label-wording-differs","code 9999: 'Do not know/Refused/Missing' -> 'Don’t know/Refused/Missing'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"bphigh","BPHIGH","BPHIGH2","1985-2000","2001-2001",1,"EVER TOLD BLOOD PRESSURE HIGH","EVER TOLD BLOOD PRESSURE HIGH",1,FALSE,"code-set-differs","only in BPHIGH: {}; only in BPHIGH2: {8}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"bphigh","BPHIGH2","BPHIGH3","2001-2001","2002-2004",1,"EVER TOLD BLOOD PRESSURE HIGH","EVER TOLD BLOOD PRESSURE HIGH",1,FALSE,"code-set-differs","only in BPHIGH2: {8}; only in BPHIGH3: {7,3}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"bphigh","BPHIGH3","BPHIGH4","2002-2004","2005-2019",1,"EVER TOLD BLOOD PRESSURE HIGH","EVER TOLD BLOOD PRESSURE HIGH",1,FALSE,"code-set-differs","only in BPHIGH3: {}; only in BPHIGH4: {4}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"bphigh","BPHIGH4","BPHIGH6","2005-2019","2021-2023",2,"EVER TOLD BLOOD PRESSURE HIGH","EVER TOLD BLOOD PRESSURE HIGH",1,TRUE,"label-wording-differs","code 4: 'Told borderline high or pre-hypertensive' -> 'Told borderline high or pre-hypertensive or elevated blood pressure'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"bpmeds","BPMEDS","BPMEDS1","2001-2021","2023-2023",2,"CURRENTLY TAKING BLOOD PRESSURE MEDICATI","CURRENTLY TAKING PRESCRIPTION BLOOD PRES",0.43,TRUE,"none","","","verified?","TRUE","medium","codes and answer labels identical; check question wording in the codebook if the estimate matters"
"brthcnt","BRTHCNT2","BRTHCNT3","2002-2002","2004-2010",2,"USING BIRTH CONTROL?","ARE YOU DOING ANYTHING TO KEEP FROM GETT",0,TRUE,"label-wording-differs","code 7: 'Do not know/Not sure' -> 'Don’t know/Not sure'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"brthcnt","BRTHCNT3","BRTHCNT4","2004-2010","2022-2022",12,"ARE YOU DOING ANYTHING TO KEEP FROM GETT","ARE YOU DOING ANYTHING TO KEEP FROM GETT",1,FALSE,"code-set-differs","only in BRTHCNT3: {}; only in BRTHCNT4: {99,8,10,11,77,6,0,12,5}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"cadult","CADULT","CADULT1","2011-2018","2019-2024",1,"ARE YOU 18 YEARS OF AGE OR OLDER?","ARE YOU 18 YEARS OF AGE OR OLDER?",1,FALSE,"code-set-differs","only in CADULT: {3}; only in CADULT1: {}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"casthdx","CASTHDX","CASTHDX2","2002-2004","2005-2024",1,"CHILDREN DIAGNOSED W/ASTHMA","HLTH PRO EVER SAID CHILD HAS ASTHMA",0.1,FALSE,"code-set-differs","only in CASTHDX: {88,77,99}; only in CASTHDX2: {2,1,9,7}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"cellsex","CELLSEX","CELLSEX1","2019-2021","2022-2022",1,"ARE YOU MALE OR FEMALE?","ARE YOU MALE OR FEMALE?",1,FALSE,"code-set-differs","only in CELLSEX: {}; only in CELLSEX1: {3}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"cellsex","CELLSEX1","CELLSEX2","2022-2022","2023-2023",1,"ARE YOU MALE OR FEMALE?","ARE YOU MALE OR FEMALE?",1,FALSE,"code-set-differs","only in CELLSEX1: {3}; only in CELLSEX2: {}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"chccopd","CHCCOPD2","CHCCOPD3","2019-2020","2021-2024",1,"(EVER TOLD) YOU HAD (COPD) CHRONIC OBSTR","EVER TOLD YOU HAD C.O.P.D. EMPHYSEMA OR",0.33,TRUE,"none","","","verified?","TRUE","medium","codes and answer labels identical; check question wording in the codebook if the estimate matters"
"checkup","CHECKUP","CHECKUP1","1987-2006","2007-2024",1,"LENGTH OF TIME SINCE LAST ROUTINE CHECKU","LENGTH OF TIME SINCE LAST ROUTINE CHECKU",1,TRUE,"label-wording-differs","code 3: 'Within the past 5 years (2 years but < 5 years ago)' -> 'Within past 5 years (2 years but less than 5 years ago)' | code 2: 'Within the past 2 years (1 year but < 2 years ago)' -> 'Within past 2 years (1 year but less than 2 years ago)' | code 1: 'Within the past year (< 12 months ago)' -> 'Within past year (anytime less than 12 months ago)'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"chkhemo","CHKHEMO2","CHKHEMO3","2000-2003","2004-2024",1,"CHECKED FOR HEMOGLOBIN A ONE C","TIMES CHECKED FOR GLYCOSYLATED HEMOGLOBI",0.25,TRUE,"label-wording-differs","code 77: 'Do not know/Not sure' -> 'Don’t know/Not sure' | code 98: 'Never heard of hemoglobin ""A one C"" test' -> 'Never heard of “A one C” test'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"cholchk","CHOLCHK","CHOLCHK1","1987-2015","2017-2017",2,"HOW LONG SINCE CHOLESTEROL CHECKED","HOW LONG SINCE CHOLESTEROL CHECKED",1,FALSE,"code-set-differs","only in CHOLCHK: {}; only in CHOLCHK1: {5}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"cholchk","CHOLCHK1","CHOLCHK2","2017-2017","2019-2019",2,"HOW LONG SINCE CHOLESTEROL CHECKED","HOW LONG SINCE CHOLESTEROL CHECKED",1,FALSE,"code-set-differs","only in CHOLCHK1: {}; only in CHOLCHK2: {6,8}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"cncrtyp","CNCRTYP1","CNCRTYP2","2012-2021","2022-2024",1,"TYPE OF CANCER","TYPE OF CANCER",1,TRUE,"label-wording-differs","code 5: 'Head and neck cancer' -> 'Breast' | code 3: 'Endometrial cancer (cancer of the uterus)' -> 'Bone' | code 18: 'Non-Hodgkin´s Lymphoma' -> 'Ovary/Ovarian' | code 13: 'Pancreatic (pancreas) cancer' -> 'Liver' | code 17: 'Leukemia (blood) cancer' -> 'Mouth/tongue/lip' | code 4: 'Ovarian cancer (cancer of the ovary)' -> 'Brain' | code 21: 'Melanoma' -> 'Rectum/Rectal' | code 19: 'Prostate cancer' -> 'Pancreas/Pancreatic' | code 6: 'Oral cancer' -> 'Cervix/Cervical' | code 28: 'Brain' -> 'Thyroid' | code 2: 'Cervical cancer (cancer of the cervix)' -> 'Blood' | code 14: 'Rectal (rectum) cancer' -> 'Lung' | code 16: 'Hodgkin´s Lymphoma (Hodgkin’s disease)' -> 'Melanoma' | code 25: 'Bladder cancer' -> 'Stomach' | code 10: 'Colon (intestine) cancer' -> 'Kidney' | code 11: 'Esophageal (esophagus)' -> 'Larynx-trachea' | code 20: 'Testicular cancer' -> 'Prostate' | code 1: 'Breast cancer' -> 'Bladder' | code 29: 'Neuroblastoma' -> 'Uterus/Uterine' | code 27: 'Bone' -> 'Throat - pharynx' | code 12: 'Liver cancer' -> 'Leukemia' | code 8: 'Thyroid' -> 'Esophagus/Esophageal' | code 24: 'Lung' -> 'Soft tissue (muscle or fat)' | code 22: 'Other skin cancer' -> 'Skin (non-melanoma)' | code 15: 'Stomach' -> 'Lymphoma' | code 7: 'Pharyngeal (throat) cancer' -> 'Colon' | code 26: 'Renal (kidney) cancer' -> 'Testis/Testicular' | code 9: 'Larynx' -> 'Gallbladder' | code 23: 'Heart' -> 'Skin (don´t know what kind)'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"colgsex","COLGSEX","COLGSEX1","2019-2021","2022-2022",1,"ARE YOU MALE OR FEMALE?","ARE YOU MALE OR FEMALE?",1,FALSE,"code-set-differs","only in COLGSEX: {}; only in COLGSEX1: {3}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"covidnu","COVIDNU1","COVIDNU2","2022-2022","2023-2023",1,"NUMBER OF COVID-19 VACCINATIONS RECEIVED","NUMBER OF COVID-19 VACCINATIONS RECEIVED",1,FALSE,"code-set-differs","only in COVIDNU1: {}; only in COVIDNU2: {5}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"cprace","_CPRACE1","_CPRACE2","2021-2021","2022-2022",1,"PREFERRED CHILD RACE CATEGORIES","PREFERRED CHILD RACE CATEGORIES",1,FALSE,"code-set-differs","only in _CPRACE1: {8}; only in _CPRACE2: {88}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"crcrec","_CRCREC","_CRCREC1","2014-2018","2020-2020",2,"RESPONDENTS AGED 50-75 WHO HAVE FULLY ME","RESPONDENTS AGED 50-75 WHO HAVE FULLY ME",1,FALSE,"code-set-differs","only in _CRCREC: {}; only in _CRCREC1: {3}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"crgvhrs","CRGVHRS","CRGVHRS1","2009-2010","2015-2023",5,"HOW MANY HOURS DO YOU PROVIDE CARE FOR P","HOW MANY HOURS DO YOU PROVIDE CARE FOR P",1,FALSE,"code-set-differs","only in CRGVHRS: {777,999}; only in CRGVHRS1: {7,2,4,3,9,1}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"crgvhrs","CRGVHRS1","CRGVHRS2","2015-2023","2024-2024",1,"HOW MANY HOURS DO YOU PROVIDE CARE FOR P","HOW MANY HOURS DO YOU PROVIDE CARE FOR P",1,FALSE,"code-set-differs","only in CRGVHRS1: {4}; only in CRGVHRS2: {}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"crgvlng","CRGVLNG1","CRGVLNG2","2015-2023","2024-2024",1,"HOW LONG PROVIDED CARE FOR PERSON.","HOW LONG PROVIDED CARE FOR PERSON.",1,FALSE,"code-set-differs","only in CRGVLNG1: {5}; only in CRGVLNG2: {}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"crgvmst","CRGVMST1","CRGVMST2","2010-2010","2015-2017",5,"WHAT AREAS DOES PERSON MOST NEED YOUR HE","WHICH SUPPORT DO YOU MOST NEED THAT YOU",0.15,FALSE,"code-set-differs","only in CRGVMST1: {8,77,99,10}; only in CRGVMST2: {}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"crgvprb","CRGVPRB1","CRGVPRB2","2015-2015","2016-2018",1,"WHAT IS THE MAJOR HEALTH PROBLEM, ILLNES","WHAT IS THE MAJOR HEALTH PROBLEM, ILLNES",1,FALSE,"code-set-differs","only in CRGVPRB1: {}; only in CRGVPRB2: {14,15}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"crgvprb","CRGVPRB2","CRGVPRB3","2016-2018","2019-2023",1,"WHAT IS THE MAJOR HEALTH PROBLEM, ILLNES","WHAT IS THE MAJOR HEALTH PROBLEM, ILLNES",1,TRUE,"label-wording-differs","code 14: 'Old age/infirmity/frailty' -> 'Old age/ infirmity/frailty' | code 1: 'Arthritis/Rheumatism' -> 'Arthritis/ rheumatism' | code 5: 'Dementia or other Cognitive Impairment Disorders' -> 'AlzheimerÂ´s disease, dementia or other cognitive impairment disorder'","","verified?","check","medium","codes identical but answer wording changed; judge whether meaning moved"
"crgvprb","CRGVPRB3","CRGVPRB4","2019-2023","2024-2024",1,"WHAT IS THE MAJOR HEALTH PROBLEM, ILLNES","WHAT IS THE MAIN HEALTH PROBLEM, ILLNESS",0.5,FALSE,"code-set-differs","only in CRGVPRB3: {14,15}; only in CRGVPRB4: {}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
"crgvrel","CRGVREL1","CRGVREL2","2015-2016","2017-2018",1,"RELATIONSHIP OF PERSON TO WHOM YOU ARE G","RELATIONSHIP OF PERSON TO WHOM YOU ARE G",1,FALSE,"code-set-differs","only in CRGVREL1: {}; only in CRGVREL2: {16}","","verified?","FALSE","medium","same concept but the code set changed; note the diff"
